date,yield,close,close_1
2017/11/3,3.8816,195.1492,96.26343838
2017/11/6,3.8694,195.3735,96.27474502
2017/11/7,3.8813,195.1294,96.26371638
2017/11/8,3.8725,195.208,96.27187177
2017/11/9,3.8863,195.059,96.25908325
2017/11/10,3.9,194.8095,96.24639076
2017/11/13,3.95,194.2543,96.2000962
2017/11/14,3.9525,194.2126,96.19778264
2017/11/15,3.95,194.4087,96.2000962
2017/11/16,3.9225,194.8022,96.2255527
2017/11/17,3.92,194.8062,96.22786759
2017/11/20,3.94,194.6016,96.20935155
2017/11/21,3.95,194.4926,96.2000962
2017/11/22,3.985,193.918,96.1677165
2017/11/23,3.9851,194.2854,96.16762402
2017/11/24,3.9463,194.6551,96.20352047
2017/11/27,3.9501,194.6482,96.20000366
2017/11/28,3.9601,194.672,96.19075011
2017/11/29,3.9101,195.1704,96.23703567
2017/11/30,3.8901,195.4498,96.25556237
2017/12/1,3.8852,195.5013,96.2601025
2017/12/4,3.8902,195.743,96.25546972
2017/12/5,3.8752,195.8749,96.2693694
2017/12/6,3.8752,195.8897,96.2693694
2017/12/7,3.8927,195.7017,96.25315349
2017/12/8,3.9102,195.5103,96.23694305
2017/12/11,3.9303,195.038,96.21833094
2017/12/12,3.9378,194.8897,96.21138796
2017/12/13,3.9303,194.9417,96.21833094
2017/12/14,3.9104,195.1159,96.23675782
2017/12/15,3.8904,195.3273,96.25528442
2017/12/18,3.8904,195.4817,96.25528442
2017/12/19,3.9005,195.4619,96.24592759
2017/12/20,3.9005,195.5595,96.24592759
2017/12/21,3.9005,195.6959,96.24592759
2017/12/22,3.878,195.7742,96.26677449
2017/12/25,3.8731,195.6691,96.27131567
2017/12/26,3.8881,195.5856,96.25741543
2017/12/27,3.8956,195.573,96.25046681
2017/12/28,3.8857,195.5794,96.2596392
2017/12/29,3.8807,195.764,96.26427238
2018/1/2,3.9008,195.7234,96.2456497
2018/1/3,3.9162,195.5156,96.23138644
2018/1/4,3.9319,195.4026,96.21684969
2018/1/5,3.9212,195.4749,96.22675643
2018/1/8,3.911,195.6241,96.23620213
2018/1/9,3.8909,195.8158,96.25482116
2018/1/10,3.9201,195.7502,96.22777499
2018/1/11,3.9546,195.7222,96.19583934
2018/1/12,3.9337,195.8363,96.21518333
2018/1/15,3.965,195.6607,96.18621652
2018/1/16,3.9596,195.6556,96.19121274
2018/1/17,3.9597,195.6932,96.19112021
2018/1/18,3.9797,195.4028,96.17261831
2018/1/19,3.9754,195.5166,96.17659562
2018/1/22,3.9522,195.2042,96.19806026
2018/1/23,3.9414,195.1993,96.20805569
2018/1/24,3.9507,195.2611,96.19944839
2018/1/25,3.9435,195.3812,96.20611197
2018/1/26,3.9365,195.3564,96.21259134
2018/1/29,3.9368,195.4314,96.21231364
2018/1/30,3.9292,195.524,96.21934933
2018/1/31,3.914,195.6842,96.23342379
2018/2/1,3.9066,195.8326,96.24027733
2018/2/2,3.9092,195.8302,96.23786922
2018/2/5,3.9167,195.7452,96.23092342
2018/2/6,3.8825,196.2221,96.26260438
2018/2/7,3.87,196.3863,96.27418889
2018/2/8,3.8801,196.4079,96.26482839
2018/2/9,3.88,196.4513,96.26492106
2018/2/12,3.875,196.6582,96.26955475
2018/2/13,3.87,196.7184,96.27418889
2018/2/14,3.8702,196.8167,96.27400352
2018/2/22,3.8752,196.8977,96.2693694
2018/2/23,3.8702,196.8685,96.27400352
2018/2/26,3.8452,197.2096,96.2971808
2018/2/27,3.8201,197.5428,96.32046203
2018/2/28,3.8202,197.597,96.32036925
2018/3/1,3.8201,197.4869,96.32046203
2018/3/2,3.8352,197.4158,96.30645484
2018/3/5,3.8453,197.4053,96.29708807
2018/3/6,3.8253,197.4821,96.3156379
2018/3/7,3.8203,197.7304,96.32027648
2018/3/8,3.8203,197.8204,96.32027648
2018/3/9,3.8278,197.774,96.31331878
2018/3/12,3.8243,197.973,96.31656558
2018/3/13,3.8362,197.9786,96.30552736
2018/3/14,3.8413,197.9577,96.30079747
